"country","fsystem","crop","total","area5.5_ha","area6.0_ha","area6.5_ha","area14_ha","diff"
"Sudan","5. Cereal-root crop mixed","GROU",3966.59999591857,NA,35.0999984741211,292.699996948242,2323.60000115633,NA
"Sudan","5. Cereal-root crop mixed","SUGC",434.700000070035,NA,3,60,330,NA
"Sudan","5. Cereal-root crop mixed","COTT",591.699999220669,NA,6.80000019073486,60,441.299999237061,NA
"Sudan","5. Cereal-root crop mixed","COCO",393,NA,3,60,330,NA
"Sudan","5. Cereal-root crop mixed","TEAS",393,NA,3,60,330,NA
"Sudan","5. Cereal-root crop mixed","TOBA",394.700000010431,NA,2.10000000149012,60,330,NA
"Sudan","5. Cereal-root crop mixed","BANA",400.899999804795,NA,3,59.4999999552965,329.20000000298,NA
"Sudan","5. Cereal-root crop mixed","PLNT",393,NA,3,60,330,NA
"Sudan","8. Pastoral","MAIZ",1747.10000000149,NA,NA,13,1715,NA
"Sudan","8. Pastoral","SORG",1306917.09941888,NA,NA,1380.99997639656,1020137.4003174,NA
"Sudan","8. Pastoral","BEAN",3007.90000581741,NA,NA,178.400001525879,2511.40000772476,NA
"Sudan","8. Pastoral","CHIC",1728,NA,NA,13,1715,NA
"Sudan","8. Pastoral","LENT",1728,NA,NA,13,1715,NA
"Sudan","8. Pastoral","WHEA",4204.09993465245,NA,NA,13,3789.19994175434,NA
"Sudan","8. Pastoral","BARL",1728,NA,NA,13,1715,NA
"Sudan","8. Pastoral","ACOF",1728,NA,NA,13,1715,NA
"Sudan","8. Pastoral","RCOF",1728,NA,NA,13,1715,NA
"Sudan","8. Pastoral","RICE",1728,NA,NA,13,1715,NA
"Sudan","8. Pastoral","PMIL",1233487.80083225,NA,NA,4720.90012359619,743702.80021143,NA
"Sudan","8. Pastoral","SMIL",1728,NA,NA,13,1715,NA
"Sudan","8. Pastoral","POTA",1769.2999997139,NA,NA,16.1999999284744,1729.10000015795,NA
"Sudan","8. Pastoral","SWPO",1728,NA,NA,13,1715,NA
"Sudan","8. Pastoral","CASS",1728,NA,NA,13,1715,NA
"Sudan","8. Pastoral","COWP",1728,NA,NA,13,1715,NA
"Sudan","8. Pastoral","PIGE",1728,NA,NA,13,1715,NA
"Sudan","8. Pastoral","SOYB",1728,NA,NA,13,1715,NA
"Sudan","8. Pastoral","GROU",607992.299605653,NA,NA,1802.20000076294,372830.200425878,NA
"Sudan","8. Pastoral","SUGC",1861,NA,NA,13,1715,NA
"Sudan","8. Pastoral","COTT",3971.59997422993,NA,NA,200.800006866455,3502.29996609688,NA
"Sudan","8. Pastoral","COCO",1728,NA,NA,13,1715,NA
"Sudan","8. Pastoral","TEAS",1728,NA,NA,13,1715,NA
"Sudan","8. Pastoral","TOBA",1719.90000002086,NA,NA,11.2000000029802,1708.10000001639,NA
"Sudan","8. Pastoral","BANA",1743.30000019073,NA,NA,13,1715,NA
"Sudan","8. Pastoral","PLNT",1728,NA,NA,13,1715,NA
"Sudan","9. Fish-based","MAIZ",62.3999992385507,NA,NA,NA,25,NA
"Sudan","9. Fish-based","SORG",11977.6000489742,NA,NA,NA,4763.40004301071,NA
"Sudan","9. Fish-based","BEAN",25,NA,NA,NA,25,NA
"Sudan","9. Fish-based","CHIC",25,NA,NA,NA,25,NA
"Sudan","9. Fish-based","LENT",25,NA,NA,NA,25,NA
"Sudan","9. Fish-based","WHEA",256.000003054738,NA,NA,NA,25,NA
"Sudan","9. Fish-based","BARL",25,NA,NA,NA,25,NA
"Sudan","9. Fish-based","ACOF",25,NA,NA,NA,25,NA
"Sudan","9. Fish-based","RCOF",25,NA,NA,NA,25,NA
"Sudan","9. Fish-based","RICE",25,NA,NA,NA,25,NA
"Sudan","9. Fish-based","PMIL",5760.30000209808,NA,NA,NA,2216.70004749298,NA
"Sudan","9. Fish-based","SMIL",25,NA,NA,NA,25,NA
"Sudan","9. Fish-based","POTA",47,NA,NA,NA,25,NA
"Sudan","9. Fish-based","SWPO",25,NA,NA,NA,25,NA
"Sudan","9. Fish-based","CASS",25,NA,NA,NA,25,NA
"Sudan","9. Fish-based","COWP",25,NA,NA,NA,25,NA
"Sudan","9. Fish-based","PIGE",25,NA,NA,NA,25,NA
"Sudan","9. Fish-based","SOYB",25,NA,NA,NA,25,NA
"Sudan","9. Fish-based","GROU",50.7000007629395,NA,NA,NA,25,NA
"Sudan","9. Fish-based","SUGC",225,NA,NA,NA,25,NA
"Sudan","9. Fish-based","COTT",1300.30001699924,NA,NA,NA,472.700003266335,NA
"Sudan","9. Fish-based","COCO",25,NA,NA,NA,25,NA
"Sudan","9. Fish-based","TEAS",25,NA,NA,NA,25,NA
"Sudan","9. Fish-based","TOBA",25,NA,NA,NA,25,NA
"Sudan","9. Fish-based","BANA",45,NA,NA,NA,25,NA
"Sudan","9. Fish-based","PLNT",25,NA,NA,NA,25,NA
"Sudan","11. Irrigated","MAIZ",1470.30000045896,NA,NA,NA,1388.89999985695,NA
"Sudan","11. Irrigated","SORG",990294.601503283,NA,NA,NA,923856.301543891,NA
"Sudan","11. Irrigated","BEAN",1401.39999951422,NA,NA,NA,1380.59999978542,NA
"Sudan","11. Irrigated","CHIC",1355.10000002384,NA,NA,NA,1355.00000002235,NA
"Sudan","11. Irrigated","LENT",1359,NA,NA,NA,1359,NA
"Sudan","11. Irrigated","WHEA",262774.999957509,NA,NA,NA,243711.499967709,NA
"Sudan","11. Irrigated","BARL",1359,NA,NA,NA,1359,NA
"Sudan","11. Irrigated","ACOF",1359,NA,NA,NA,1359,NA
"Sudan","11. Irrigated","RCOF",1359,NA,NA,NA,1359,NA
"Sudan","11. Irrigated","RICE",1378.90000008047,NA,NA,NA,1375.30000007153,NA
"Sudan","11. Irrigated","PMIL",70155.0998450294,NA,NA,NA,62574.7998889461,NA
"Sudan","11. Irrigated","SMIL",1359,NA,NA,NA,1359,NA
"Sudan","11. Irrigated","POTA",1434,NA,NA,NA,1404,NA
"Sudan","11. Irrigated","SWPO",1421.89999938011,NA,NA,NA,1411.99999952316,NA
"Sudan","11. Irrigated","CASS",1359,NA,NA,NA,1359,NA
"Sudan","11. Irrigated","COWP",2581.19997501373,NA,NA,NA,2395.49997711182,NA
"Sudan","11. Irrigated","PIGE",1359,NA,NA,NA,1359,NA
"Sudan","11. Irrigated","SOYB",1359,NA,NA,NA,1359,NA
"Sudan","11. Irrigated","GROU",176256.79987172,NA,NA,NA,170016.09990111,NA
"Sudan","11. Irrigated","SUGC",66396.5001170933,NA,NA,NA,64144.8001631796,NA
"Sudan","11. Irrigated","COTT",65713.0999676064,NA,NA,NA,63688.7999535128,NA
"Sudan","11. Irrigated","COCO",1359,NA,NA,NA,1359,NA
"Sudan","11. Irrigated","TEAS",1359,NA,NA,NA,1359,NA
"Sudan","11. Irrigated","TOBA",1359,NA,NA,NA,1359,NA
"Sudan","11. Irrigated","BANA",1362,NA,NA,NA,1359,NA
"Sudan","11. Irrigated","PLNT",1359,NA,NA,NA,1359,NA
"Sudan","13. Arid pastoral-oases","MAIZ",399,NA,NA,NA,399,NA
"Sudan","13. Arid pastoral-oases","SORG",35118.5999869555,NA,NA,NA,23404.2999866009,NA
"Sudan","13. Arid pastoral-oases","BEAN",399,NA,NA,NA,399,NA
"Sudan","13. Arid pastoral-oases","CHIC",399,NA,NA,NA,399,NA
"Sudan","13. Arid pastoral-oases","LENT",399,NA,NA,NA,399,NA
"Sudan","13. Arid pastoral-oases","WHEA",1128.49999713898,NA,NA,NA,449.899998664856,NA
"Sudan","13. Arid pastoral-oases","BARL",399,NA,NA,NA,399,NA
"Sudan","13. Arid pastoral-oases","ACOF",399,NA,NA,NA,399,NA
"Sudan","13. Arid pastoral-oases","RCOF",399,NA,NA,NA,399,NA
"Sudan","13. Arid pastoral-oases","RICE",399,NA,NA,NA,399,NA
"Sudan","13. Arid pastoral-oases","PMIL",1607.30000046641,NA,NA,NA,754.500002503395,NA
"Sudan","13. Arid pastoral-oases","SMIL",399,NA,NA,NA,399,NA
"Sudan","13. Arid pastoral-oases","POTA",399,NA,NA,NA,399,NA
"Sudan","13. Arid pastoral-oases","SWPO",399,NA,NA,NA,399,NA
"Sudan","13. Arid pastoral-oases","CASS",399,NA,NA,NA,399,NA
"Sudan","13. Arid pastoral-oases","COWP",399,NA,NA,NA,399,NA
"Sudan","13. Arid pastoral-oases","PIGE",399,NA,NA,NA,399,NA
"Sudan","13. Arid pastoral-oases","SOYB",399,NA,NA,NA,399,NA
"Sudan","13. Arid pastoral-oases","GROU",931.899994313717,NA,NA,NA,557.899993896484,NA
"Sudan","13. Arid pastoral-oases","SUGC",399,NA,NA,NA,399,NA
"Sudan","13. Arid pastoral-oases","COTT",526.399999141693,NA,NA,NA,465.099998474121,NA
"Sudan","13. Arid pastoral-oases","COCO",399,NA,NA,NA,399,NA
"Sudan","13. Arid pastoral-oases","TEAS",399,NA,NA,NA,399,NA
"Sudan","13. Arid pastoral-oases","TOBA",399,NA,NA,NA,399,NA
"Sudan","13. Arid pastoral-oases","BANA",399,NA,NA,NA,399,NA
"Sudan","13. Arid pastoral-oases","PLNT",399,NA,NA,NA,399,NA
"Swaziland","2. Agro-pastoral","MAIZ",5.19999980926514,NA,NA,NA,NA,NA
"Swaziland","2. Agro-pastoral","SORG",4.30000019073486,NA,NA,NA,NA,NA
"Swaziland","2. Agro-pastoral","BEAN",3.09999990463257,NA,NA,NA,NA,NA
"Swaziland","2. Agro-pastoral","CHIC",NA,NA,NA,NA,NA,NA
"Swaziland","2. Agro-pastoral","LENT",NA,NA,NA,NA,NA,NA
